facility_name,health_authority,address,locality,province,postal_code,latitude,longitude,source_label,source_url,verification_status,notes
Pattison Outpatient Centre,Fraser Health,9750 140 St,Surrey,BC,V3T 0G9,49.1797171,-122.8338333,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/jim-pattison-outpatient-care-and-surgery-centre,geocoded_needs_review,"Matched source facility name: Jim Pattison Outpatient Care and Surgery Centre. BC Geocoder matched 9750 140 St, Surrey, BC score=99 precision=CIVIC_NUMBER."
Peace Arch Hospital,Fraser Health,15521 Russell Ave,White Rock,BC,V4B 2R4,49.0296535,-122.7916065,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital#.W1j4d9VKhEY,geocoded_needs_review,"BC Geocoder matched 15521 Russell Ave, White Rock, BC score=99 precision=CIVIC_NUMBER."
Penticton Regional Hospital,Interior Health,550 Carmi Ave,Penticton,BC,V2A 3G6,49.4824905,-119.5786327,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/penticton-regional-hospital,geocoded_needs_review,"BC Geocoder matched 550 Carmi Ave, Penticton, BC score=99 precision=CIVIC_NUMBER."
Pleasant Valley Health Centre,Interior Health,3800 Patten Dr,Armstrong,BC,V4Y 1C4,50.4403955,-119.2109134,Interior Health facility page,https://www.interiorhealth.ca/locations/pleasant-valley-health-centre,geocoded_needs_review,"Official Interior Health page lists address. BC Geocoder matched 3800 Patten Dr, Armstrong, BC score=99 precision=CIVIC_NUMBER."
Prince Rupert Regional Hospital,Northern Health,1305 Summit Ave,Prince Rupert,BC,V8J 2A6,54.3043705,-130.3317532,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/prince-rupert-regional-hospital,geocoded_needs_review,"BC Geocoder matched 1305 Summit Ave, Prince Rupert, BC score=99 precision=CIVIC_NUMBER."
Qathet General Hospital,Vancouver Coastal Health,5000 Joyce Ave,Powell River,BC,V8A 5R3,49.8508312,-124.5183564,HealthLinkBC hospitals CSV,https://www.vch.ca/en/location/qathet-general-hospital,geocoded_needs_review,"Matched source facility name: qathet General Hospital. BC Geocoder matched 5000 Joyce Ave, Powell River, BC score=99 precision=CIVIC_NUMBER."
Queen Victoria Hospital,Interior Health,1200 Newlands Rd,Revelstoke,BC,V0E 2S1,50.9773376,-118.1904797,Interior Health facility page,https://www.interiorhealth.ca/locations/queen-victoria-hospital,geocoded_needs_review,"Interior Health current facility page uses postal code V0E 2S1. BC Geocoder matched 1200 Newlands Rd, Revelstoke, BC score=99 precision=CIVIC_NUMBER."
Richmond Hospital,Vancouver Coastal Health,7000 Westminster Hwy,Richmond,BC,V6X 1A2,49.1688650,-123.1463027,HealthLinkBC hospitals CSV,https://www.vch.ca/en/location/richmond-hospital,geocoded_needs_review,"BC Geocoder matched 7000 Westminster Hwy, Richmond, BC score=99 precision=CIVIC_NUMBER."
Ridge Meadows Hospital,Fraser Health,11666 Laity St,Maple Ridge,BC,V2X 7G5,49.2153772,-122.6299747,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Maple-Ridge---Pitt-Meadows/ridge-meadows-hospital#.W1j0SdVKhEY,geocoded_needs_review,"BC Geocoder matched 11666 Laity St, Maple Ridge, BC score=99 precision=CIVIC_NUMBER."
Royal Columbian Hospital,Fraser Health,330 E Columbia St,New Westminster,BC,V3L 3W7,49.2267056,-122.8905697,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/New-Westminster/royal-columbian-hospital#.W1jyEtVKhEY,geocoded_needs_review,"BC Geocoder matched 330 E Columbia St, New Westminster, BC score=99 precision=CIVIC_NUMBER."
Royal Inland Hospital,Interior Health,311 Columbia St,Kamloops,BC,V2C 2T1,50.6711579,-120.3337638,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/royal-inland-hospital,geocoded_needs_review,"BC Geocoder matched 311 Columbia St, Kamloops, BC score=99 precision=CIVIC_NUMBER."
