odhf_index,facility_name,source_facility_type,odhf_facility_type,provider,address,postal_code,city,province,csd_name,csd_uid,latitude,longitude,source_url
776,Ferguson Home,,Nursing and residential care facilities,Province of British Columbia,32375 george ferguson way abbotsford bc v2t 2l2,V2T 2L2,abbotsford,BC,Abbotsford,5909052.0,49.0552957,-122.32755049999999,https://www.statcan.gc.ca/en/lode/databases/odhf
777,Fernridge Place,,Nursing and residential care facilities,Province of British Columbia,2107 200th st langley bc v2z 1z6,V2Z 1Z6,langley,BC,Langley,5915001.0,49.040490999999996,-122.669881,https://www.statcan.gc.ca/en/lode/databases/odhf
778,Fifty Fourth Avenue Home,,Nursing and residential care facilities,Province of British Columbia,12780 54th ave surrey bc v3x 3c2,V3X 3C2,surrey,BC,Surrey,5915004.0,49.100283000000005,-122.868452,https://www.statcan.gc.ca/en/lode/databases/odhf
780,Finnish Home,,Nursing and residential care facilities,Province of British Columbia,2288 harrison dr vancouver bc v5p 2p6,V5P 2P6,vancouver,BC,Vancouver,5915022.0,49.20822879999999,-123.06074540000002,https://www.statcan.gc.ca/en/lode/databases/odhf
781,Finnish Manor,,Nursing and residential care facilities,Province of British Columbia,3460 kalyk ave burnaby bc v5g 3b2,V5G 3B2,burnaby,BC,Burnaby,5915025.0,49.25405,-123.01274879999998,https://www.statcan.gc.ca/en/lode/databases/odhf
782,Fir Park Village,,Nursing and residential care facilities,Province of British Columbia,4411 wallace st port alberni bc v9y 7y5,V9Y 7Y5,port alberni,BC,Port Alberni,5923008.0,49.250749,-124.79915,https://www.statcan.gc.ca/en/lode/databases/odhf
783,First Canadian Medical Clinic,,Ambulatory health care services,Province of British Columbia,14888 104th avenue surrey bc v3r 1m4,V3R 1M4,surrey,BC,Surrey,5915004.0,49.191351,-122.80976000000001,https://www.statcan.gc.ca/en/lode/databases/odhf
784,Firstcare Medical Centre,,Ambulatory health care services,Province of British Columbia,2590 commercial drive vancouver bc v5n 4c2,V5N 4C2,vancouver,BC,Vancouver,5915022.0,49.261542,-123.069778,https://www.statcan.gc.ca/en/lode/databases/odhf
785,Fischer Place,,Nursing and residential care facilities,Province of British Columbia,555 cedar avenue 100 mile house bc v0k 2e1,V0K 2E1,100 mile house,BC,One Hundred Mile House,5941005.0,51.63807,-121.291632,https://www.statcan.gc.ca/en/lode/databases/odhf
786,Five Corners Residence,,Nursing and residential care facilities,Province of British Columbia,21451 old yale rd langley bc v3a 4m6,V3A 4M6,langley,BC,Langley,5915001.0,49.0915519,-122.62836750000001,https://www.statcan.gc.ca/en/lode/databases/odhf
787,Flamingo Road,,Nursing and residential care facilities,Province of British Columbia,8244 flamingo rd prince george bc v2n 2j1,V2N 2J1,prince george,BC,Prince George,5953023.0,54.005809,-122.82061999999999,https://www.statcan.gc.ca/en/lode/databases/odhf
788,Fleet Street Group Home,,Nursing and residential care facilities,Province of British Columbia,2994 fleet st coquitlam bc v3c 3r8,V3C 3R8,coquitlam,BC,Coquitlam,5915034.0,49.2634222,-122.8114257,https://www.statcan.gc.ca/en/lode/databases/odhf
789,Fleetwood House,,Nursing and residential care facilities,Province of British Columbia,9407 161st st surrey bc v4n 2p3,V4N 2P3,surrey,BC,Surrey,5915004.0,49.173384000000006,-122.77644199999999,https://www.statcan.gc.ca/en/lode/databases/odhf
790,Fleetwood Place,,Nursing and residential care facilities,Province of British Columbia,16011 83rd ave surrey bc v4n 0n2,V4N 0N2,surrey,BC,Surrey,5915004.0,49.153895,-122.778049,https://www.statcan.gc.ca/en/lode/databases/odhf
791,Fletcher 1,,Nursing and residential care facilities,Province of British Columbia,12062 fletcher st maple ridge bc v2x 6k9,V2X 6K9,maple ridge,BC,Maple Ridge,5915075.0,49.2216885,-122.5919793,https://www.statcan.gc.ca/en/lode/databases/odhf
792,Foothills Medical Clinic,,Ambulatory health care services,Province of British Columbia,203-3387 david avenue coquitlam bc v3e 0k4,V3E 0K4,coquitlam,BC,Coquitlam,5915034.0,49.293372999999995,-122.755466,https://www.statcan.gc.ca/en/lode/databases/odhf
793,Foremed Clinic,,Ambulatory health care services,Province of British Columbia,420 columbia street new westminster bc v3l 1b1,V3L 1B1,new westminster,BC,New Westminster,5915029.0,49.204289,-122.90583899999999,https://www.statcan.gc.ca/en/lode/databases/odhf
