canonical_name,place_type,source_datasets,aliases,notes
North Peace Division Of Family Practice,organization,bc_msp_blue_book,North Peace Division of Family Practice|North Peace Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $146,000.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $1,388,200.00."
North Peace Primary Care Centre,organization,bc_msp_blue_book,North Peace Primary Care Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2016/2017 to 2022/2023, total payments $10,902,485.93."
North Shuswap Health Centre,organization,bc_msp_blue_book,North Shuswap Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2016/2017 to 2022/2023, total payments $275,748.69."
North Vancouver Urgent and Primary Care Centre,organization,bc_msp_blue_book,North Vancouver Urgent and Primary Care Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2021/2022 to 2023/2024, total payments $731,833.25."
Northern Interior Rural Division Of Family Practice,organization,bc_msp_blue_book,Northern Interior Rural Division of Family Practice|Northern Interior Rural Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $160,600.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $1,346,165.00."
Oceanside Health Centre,organization,bc_msp_blue_book,Oceanside Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $18,826,324.26."
PACIFIC NORTHWEST DIVISION OF FAMILY PRACTICE,organization,bc_msp_blue_book,PACIFIC NORTHWEST DIVISION OF FAMILY PRACTICE|Pacific Northwest Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2018/2019 to 2020/2021, total payments $311,472.50. Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $396,335.00."
Pattern of Practice Committee,organization,bc_msp_blue_book,Pattern of Practice Committee,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2021/2022 to 2024/2025, total payments $237,916.87."
Pemberton Health Centre,organization,bc_msp_blue_book,Pemberton Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,535,051.09."
Peninsula General Practice Group,organization,bc_msp_blue_book,Peninsula General Practice Group,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2014/2015 to 2018/2019, total payments $1,022,600.00."
Physician Disability Insurance Program,organization,bc_msp_blue_book,Physician Disability Insurance Program,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $221,797,701.77."
Physician Health Program,organization,bc_msp_blue_book,Physician Health Program,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $21,483,932.14."
Port Alberni Division Of Family Practice,organization,bc_msp_blue_book,Port Alberni Division of Family Practice|Port Alberni Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $47,450.00. Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2015/2016 to 2021/2022, total payments $320,547.50."
